City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Current Descripion
213,Amahai,ID,-3.3333,128.9167,82.0,92,72,2.19,2021-04-12 17:25:09,broken clouds
214,Alfonsine,IT,44.5061,12.0564,59.0,88,100,8.05,2021-04-12 17:25:09,overcast clouds
215,Progreso,MX,21.2833,-89.6667,100.99,39,20,5.75,2021-04-12 17:25:09,few clouds
216,Scarborough,GB,54.2797,-0.4044,43.0,68,35,1.01,2021-04-12 17:25:10,scattered clouds
217,Miyako,JP,39.6367,141.9525,52.47,75,100,15.12,2021-04-12 17:25:10,overcast clouds
218,Fairbanks,US,64.8378,-147.7164,32.0,64,75,9.22,2021-04-12 17:23:05,broken clouds
219,Kununurra,AU,-15.7667,128.7333,73.4,94,100,2.86,2021-04-12 17:25:11,overcast clouds
220,Lata,PT,40.1629,-8.3327,64.0,82,20,5.75,2021-04-12 17:25:11,few clouds
221,Aljezur,PT,37.3191,-8.8033,60.98,67,98,5.19,2021-04-12 17:25:12,overcast clouds
222,Sabang,ID,5.8933,95.3214,82.99,74,9,8.3,2021-04-12 17:25:12,light rain
223,Xining,CN,36.6167,101.7667,40.73,69,44,7.58,2021-04-12 17:25:13,scattered clouds
224,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,82.65,71,97,6.98,2021-04-12 17:25:13,overcast clouds
225,Hakkari,TR,37.5833,44.1667,37.08,65,0,4.52,2021-04-12 17:25:14,clear sky
226,Klaksvik,FO,62.2266,-6.589,39.2,52,37,3.44,2021-04-12 17:25:14,scattered clouds
227,Pacific Grove,US,36.6177,-121.9166,54.0,76,75,6.91,2021-04-12 17:25:15,broken clouds
228,Sulangan,PH,11.1373,123.7228,81.68,79,99,14.09,2021-04-12 17:25:15,overcast clouds
229,Nemuro,JP,43.3236,145.575,41.2,88,100,24.83,2021-04-12 17:25:15,overcast clouds
230,Awbari,LY,26.5921,12.7805,92.03,8,67,12.39,2021-04-12 17:25:16,broken clouds
231,Wuchi,CN,29.3786,103.023,46.76,97,100,2.28,2021-04-12 17:25:16,overcast clouds
232,Fuldatal,DE,51.3833,9.5667,41.0,70,40,9.22,2021-04-12 17:25:16,scattered clouds
233,Dakar,SN,14.6937,-17.4441,78.8,53,0,13.8,2021-04-12 17:25:17,clear sky
234,Villa Carlos Paz,AR,-31.4241,-64.4978,75.99,35,0,12.66,2021-04-12 17:25:17,clear sky
235,Acapulco,MX,16.8634,-99.8901,84.2,65,20,8.05,2021-04-12 17:25:18,few clouds
236,Baisha,CN,26.5222,110.9311,60.13,99,96,0.98,2021-04-12 17:25:18,light rain
237,Bindura,ZW,-17.3019,31.3306,69.01,52,27,7.0,2021-04-12 17:25:19,scattered clouds
238,Sao Joao Da Barra,BR,-21.6403,-41.0511,91.4,38,20,5.75,2021-04-12 17:23:01,few clouds
239,Ruwi,OM,23.5996,58.5507,82.4,83,0,4.61,2021-04-12 17:25:19,clear sky
240,Gaoua,BF,10.2992,-3.2508,103.32,15,7,7.18,2021-04-12 17:25:19,clear sky
241,Codrington,AU,-38.2667,141.9667,52.77,76,100,10.16,2021-04-12 17:25:20,overcast clouds
242,Laguna,US,38.421,-121.4238,66.0,48,1,3.44,2021-04-12 17:20:57,clear sky
243,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,32.0,43,100,22.37,2021-04-12 17:20:21,overcast clouds
244,Atar,MR,20.5169,-13.0499,98.46,9,7,11.21,2021-04-12 17:24:31,clear sky
245,Morristown,US,36.214,-83.2949,71.01,35,1,11.5,2021-04-12 17:23:25,clear sky
246,Baiao,BR,-2.7906,-49.6717,87.98,61,98,2.21,2021-04-12 17:25:21,overcast clouds
247,Coihueco,CL,-36.6167,-71.8333,73.4,49,0,14.97,2021-04-12 17:25:21,clear sky
248,Cozumel,MX,20.5083,-86.9458,86.0,74,75,12.66,2021-04-12 17:25:22,broken clouds
249,Safaga,EG,26.7292,33.9365,71.6,28,0,18.41,2021-04-12 17:25:23,clear sky
250,Astana,KZ,51.1801,71.446,39.2,81,0,6.71,2021-04-12 17:25:23,clear sky
251,Qasigiannguit,GL,68.8193,-51.1922,33.8,86,75,17.27,2021-04-12 17:25:24,light rain and snow
252,Inhambane,MZ,-23.865,35.3833,80.6,69,20,3.44,2021-04-12 17:21:18,few clouds
253,Poronaysk,RU,49.2167,143.1167,37.96,77,69,9.46,2021-04-12 17:25:24,broken clouds
254,North Highlands,US,38.6857,-121.3722,66.99,36,1,6.91,2021-04-12 17:25:24,clear sky
255,Faya,SA,18.3851,42.4509,66.2,77,40,3.44,2021-04-12 17:25:25,scattered clouds
256,Flinders,AU,-34.5833,150.8552,48.99,93,14,4.61,2021-04-12 17:25:26,few clouds
257,Portsmouth,GB,50.799,-1.0913,51.01,50,94,7.65,2021-04-12 17:25:26,overcast clouds
258,Cabinda,AO,-5.55,12.2,81.72,77,86,2.64,2021-04-12 17:25:26,light rain
259,Aktau,KZ,43.65,51.2,55.4,44,0,4.47,2021-04-12 17:25:27,clear sky
