City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
496,Vostok,46.4856,135.8833,59.2,37,61,14.85,RU,2021-04-12 04:49:41
497,Huanren,41.2647,125.3667,45.37,87,100,6.4,CN,2021-04-12 04:49:41
498,Impfondo,1.6381,18.0667,69.21,92,98,3.04,CG,2021-04-12 04:49:41
499,Bosobolo,4.1833,19.9,69.24,96,99,2.17,CD,2021-04-12 04:49:42
500,Bichura,50.5881,107.6022,36.68,22,59,10.07,RU,2021-04-12 04:49:42
501,Svelgen,61.7685,5.2955,37.0,69,40,8.05,NO,2021-04-12 04:49:42
502,Carutapera,-1.195,-46.02,74.28,94,96,3.83,BR,2021-04-12 04:49:43
503,Anori,-3.7728,-61.6442,73.29,98,100,1.63,BR,2021-04-12 04:49:43
504,Yabelo,4.8833,38.0833,63.48,71,64,7.67,ET,2021-04-12 04:49:44
505,Kungurtug,50.5994,97.5228,33.76,50,40,2.44,RU,2021-04-12 04:49:44
506,Nezhinka,51.7676,55.3694,48.2,61,0,6.71,RU,2021-04-12 04:49:44
507,Den Helder,52.9599,4.7593,36.0,86,20,3.44,NL,2021-04-12 04:49:45
508,Krasnogvardeyskiy,57.3793,62.3195,46.65,73,100,6.8,RU,2021-04-12 04:49:45
509,Kuytun,54.3419,101.5036,34.77,89,100,13.27,RU,2021-04-12 04:49:46
510,Abu Samrah,35.3029,37.1841,49.12,64,57,3.67,SY,2021-04-12 04:49:46
511,General Roca,-39.0333,-67.5833,64.24,39,0,9.55,AR,2021-04-12 04:49:47
512,Bonthe,7.5264,-12.505,80.19,86,84,5.77,SL,2021-04-12 04:49:47
513,Yerbogachen,61.2767,108.0108,30.76,72,94,4.03,RU,2021-04-12 04:49:47
514,Thinadhoo,0.5333,72.9333,83.25,68,99,8.23,MV,2021-04-12 04:49:48
515,Santiago Del Estero,-27.7951,-64.2615,57.56,55,5,5.14,AR,2021-04-12 04:49:48
516,Port Macquarie,-31.4333,152.9167,71.01,32,0,9.4,AU,2021-04-12 04:47:03
517,Maceio,-9.6658,-35.7353,71.6,100,75,3.44,BR,2021-04-12 04:49:49
518,Cap Malheureux,-19.9842,57.6142,82.99,76,50,5.99,MU,2021-04-12 04:49:49
519,Hay River,60.8156,-115.7999,-0.4,85,46,1.14,CA,2021-04-12 04:48:53
520,Tura,25.5198,90.2201,94.55,24,10,7.85,IN,2021-04-12 04:49:50
521,Hamilton,39.1834,-84.5333,50.0,87,90,5.75,US,2021-04-12 04:45:55
522,Pringsewu,-5.3582,104.9744,89.2,55,68,3.09,ID,2021-04-12 04:49:50
523,Sambava,-14.2667,50.1667,78.4,79,99,8.46,MG,2021-04-12 04:49:51
524,Nome,64.5011,-165.4064,27.0,93,90,23.02,US,2021-04-12 04:49:51
525,Srikakulam,18.3,83.9,91.96,42,1,8.66,IN,2021-04-12 04:49:51
526,Qaqortoq,60.7167,-46.0333,37.4,44,1,5.75,GL,2021-04-12 04:49:52
527,Sechura,-5.5569,-80.8222,72.64,73,73,10.33,PE,2021-04-12 04:49:52
528,Le Moule,16.3332,-61.3473,73.4,78,75,4.61,GP,2021-04-12 04:49:53
529,Susanville,40.4163,-120.653,46.4,34,1,3.06,US,2021-04-12 04:49:53
530,Rawson,-43.3002,-65.1023,67.44,49,45,13.44,AR,2021-04-12 04:49:53
531,Petatlan,17.5167,-101.2667,72.57,77,100,3.36,MX,2021-04-12 04:49:54
532,Yumen,40.2833,97.2,45.39,45,99,20.96,CN,2021-04-12 04:49:54
533,Baruun-Urt,46.6806,113.2792,29.41,29,6,13.29,MN,2021-04-12 04:49:55
534,Monaghan,54.25,-6.9667,34.0,93,0,2.01,IE,2021-04-12 04:49:55
535,Meulaboh,4.1363,96.1285,83.25,73,57,7.94,ID,2021-04-12 04:49:55
536,Ambad,19.6167,75.8,94.77,15,20,6.31,IN,2021-04-12 04:49:56
537,Puerto Colombia,10.9878,-74.9547,78.8,89,40,11.5,CO,2021-04-12 04:49:57
538,Wenling,28.3669,121.36,73.0,98,100,1.95,CN,2021-04-12 04:49:57
539,Palana,59.1167,159.9667,14.97,76,100,11.12,RU,2021-04-12 04:49:57
540,Shaunavon,49.6501,-108.4181,28.4,74,91,13.8,CA,2021-04-12 04:49:58
541,Bilibino,68.0546,166.4372,4.93,70,9,1.77,RU,2021-04-12 04:49:58
542,Rakoshyno,48.4671,22.5969,55.4,47,75,4.47,UA,2021-04-12 04:49:59
543,Matara,5.9485,80.5353,87.1,58,33,3.33,LK,2021-04-12 04:49:59
544,Brookings,44.3114,-96.7984,42.8,81,90,23.02,US,2021-04-12 04:50:00
545,Los Andes,-32.8337,-70.5983,60.01,41,0,1.57,CL,2021-04-12 04:50:00
